x,y
640,0.54538
639,0.48568
638,0.51236
637,0.46712
636,0.42739
635,0.43412
634,0.49017
633,0.53619
632,0.56887
631,0.66348
630,0.86938
629,0.96139
628,1.16386
627,1.39566
626,1.76456
625,2.21431
624,2.7378
623,3.34272
622,3.99855
621,4.77471
620,5.64635
619,6.47597
618,7.43906
617,8.48783
616,9.64845
615,10.9934
614,12.5903
613,14.48961
612,16.74469
611,19.31791
610,22.1556
609,25.10169
608,28.00464
607,30.70783
606,32.99823
605,34.85827
604,36.21582
603,37.20052
602,37.82497
601,38.05976
600,37.88623
599,37.31087
598,36.33513
597,34.87047
596,33.01585
595,30.85049
594,28.4212
593,25.9337
592,23.47117
591,21.18675
590,19.18152
589,17.48073
588,16.21913
587,15.42481
586,15.06509
585,15.18818
584,15.71773
583,17.04621
582,18.57671
581,20.63155
580,23.09117
579,25.6417
578,28.15603
577,30.39105
576,32.24966
575,33.81847
574,34.76541
573,35.50986
572,35.99517
571,36.34874
570,36.56005
569,36.59743
568,36.8241
567,37.04436
566,37.30316
565,37.62292
564,37.95186
563,38.29886
562,38.55114
561,38.63468
560,38.58836
559,38.19567
558,37.57508
557,36.70975
556,35.4634
555,34.09736
554,32.52639
553,30.71717
552,28.87461
551,26.93031
550,24.9471
549,22.93186
548,20.94643
547,18.99319
546,17.26798
545,15.47153
544,13.91774
543,12.54463
542,11.35393
541,10.29766
540,9.27984
539,8.3625
538,7.45266
537,6.55796
536,5.75276
535,4.93942
534,4.28029
533,3.66078
532,3.08689
531,2.65677
530,2.17737
529,1.83522
528,1.48849
527,1.16864
526,0.92215
525,0.7373
524,0.57467
523,0.45094
522,0.28475
521,0.2328
520,0.14354
519,0.27761
518,0.11977
517,0.08779
516,0.15937
515,0.20841
